taxon_oid,Domain,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID ,Genome Size   * assembled,Gene Count   * assembled
2728369459,Bacteria,Permanent Draft,"Deep subsurface and oceanic microbial communities from Witwatersrand Basin, South Africa, and the Canadian and Fennoscandian shields and at the Lost City Hydrothermal Field",Caulobacteraceae bacterium JdFR-89,DOE Joint Genome Institute (JGI),2728369459,4055294,4245
2917980345,Bacteria,Permanent Draft,Exploring microbial biodiversity for novel pathways involved in the catabolism of aromatic compounds derived from lignin,Sphingomonas sp. R1S9D,DOE Joint Genome Institute (JGI),2917980345,5564536,5239
2841795500,Bacteria,Finished,Rhodopseudomonas palustris strain:YSC3,Rhodopseudomonas palustris YSC3,Academia Sinica,2841795500,5371816,5066
2903486836,Bacteria,Permanent Draft,Mesorhizobia in Australia,Mesorhizobium sp. B1-1-8,Curtin University,2903486836,6122568,6136
2860209820,Bacteria,Permanent Draft,Biodegradation of Acesulfame,Chelatococcus sp. HY11,Novogene,2860209820,6947619,6490
2515154115,Bacteria,Permanent Draft,GEBA - Root Nodulating Bacteria,Rhizobium leguminosarum bv. viciae 128C53,DOE Joint Genome Institute (JGI),2515154115,7609235,7396
637000238,Bacteria,Finished,"Rhodopseudomonas palustris, 4 strains",Rhodopseudomonas palustris BisB5,DOE Joint Genome Institute (JGI),637000238,4892717,4501
2919587334,Bacteria,Permanent Draft,"Sorghum-associated microbial communities from plants grown in Nebraska, USA",Methylobacterium sp. BE186,DOE Joint Genome Institute (JGI),2919587334,5592392,5525
2883162986,Bacteria,Finished,Complete genome sequence of Sphingobium barthaii KK22,Sphingobium barthaii KK22,Yokohama City University,2883162986,4984172,4801
2902417757,Bacteria,Permanent Draft,AAP Bacteria from Wheat Phyllosphere,Methylobacterium sp. WL64,Aarhus University,2902417757,6909724,7194
2825265993,Bacteria,Permanent Draft,Understanding the reciprocal impacts of modified plant cell wall and associated microbiome,Novosphingobium sp. BK657,DOE Joint Genome Institute (JGI),2825265993,4894106,4447
2906308376,Bacteria,Permanent Draft,Sequencing of a global collection of 1315 chickpea nodulating Mesorhizobium strains,Mesorhizobium sp. M2D.F.Ca.ET.185.01.1.1,"University of California, Davis",2906308376,6841989,7022
2791355121,Bacteria,Permanent Draft,Genome sequencing of Mesorhizobia from legumes,Mesorhizobium sp. WSM3864,Curtin University,2791355121,6275345,6046
2708742397,Bacteria,Permanent Draft,Aquatic microbiome from duckweeds obtained from Rutgers Duckweed Stock Cooperative (RDSC),Rhizobium sp. RU33A,DOE Joint Genome Institute (JGI),2708742397,4849481,4658
2784132052,Bacteria,Permanent Draft,Systems level insights into methane cycling in arid and semi-arid ecosystems,Neorhizobium sp. R1-B,DOE Joint Genome Institute (JGI),2784132052,5508190,5436
2747842403,Bacteria,Permanent Draft,Genome sequencing of high-molecular-weight (HMW) dissolved organic matter (DOM) degraders,Erythrobacter sp. HI0063,Massachusetts Institute of Technology,2747842403,3184360,3164
2924999570,Bacteria,Permanent Draft,Sphingomonas sp. TF3 genome sequencing,Sphingomonas sp. TF3,All-Russia Research Institute for Agricultural Microbiology,2924999570,4381496,4277
2837529137,Bacteria,Permanent Draft,Altererythrobacter genome sequencing - Second Institute of Oceanography,Pelagerythrobacter aerophilus Ery1,"Second Institute of Oceanography, State Oceanic Administration",2837529137,3653105,3619
2645727896,Bacteria,Permanent Draft,Citromicrobium sp. JL2201 genome sequencing,Citromicrobium sp. JL2201,Xiamen university,2645727896,3273652,3293
2918992598,Bacteria,Permanent Draft,Dissecting the diversity of rare earth-dependent plant-microbiome interactions,Methylorubrum extorquens TLI 801,DOE Joint Genome Institute (JGI),2918992598,6857651,6679
2847686936,Bacteria,Finished,Sequencing of a global collection of 1315 chickpea nodulating Mesorhizobium strains,Mesorhizobium sp. M1A.F.Ca.IN.022.06.1.1,"University of California, Davis",2847686936,6278406,6284
2928373995,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification",Rhizobium lentis DSM 29286,DOE Joint Genome Institute (JGI),2928373995,6508436,6504
2643221560,Bacteria,Permanent Draft,Genome sequencing of Arabidopsis leaf and root microbiota representing the majority of bacterial species in their natural communities,Sphingopyxis sp. Root1497,Max Planck Institute for Plant Breeding Research,2643221560,4801179,4544
2845814246,Bacteria,Permanent Draft,"Drinking water biofilms microbial communities from hospital in Ohio, USA",Porphyrobacter donghaensis CCH6-E1,"Georgia Institute of Technology, U.S. Environmental Protection Agency",2845814246,3671690,3786
2901030786,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification",Methylopila capsulata DSM 6130,DOE Joint Genome Institute (JGI),2901030786,4135070,3924
2511231028,Bacteria,Permanent Draft,Plant-Microbe Interfaces,Bradyrhizobium sp. YR681,Oak Ridge National Laboratory,2511231028,8046582,8377
2770939613,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification",Hephaestia caeni DSM 25527,DOE Joint Genome Institute (JGI),2770939613,4524961,4375
643348564,Bacteria,Finished,LGT in Methylobacteria Proposal # 0165-051130,Methylobacterium nodulans ORS 2060,DOE Joint Genome Institute (JGI),643348564,8839022,8885
2684623251,Bacteria,Permanent Draft,"Avena fatua rhizosphere microbial communities from Hopland, California, USA",Sphingomonas bacterium JGI 039 (unscreened),DOE Joint Genome Institute (JGI),2684623251,3262251,3281
2888388044,Bacteria,Finished,Bradyrhizobium sp. 58S1 genome sequencing,Bradyrhizobium cosmicum 58S1,Agriculture and Agri-Food Canada,2888388044,7304136,7102
2856334872,Bacteria,Permanent Draft,Sequencing of a global collection of 1315 chickpea nodulating Mesorhizobium strains,Mesorhizobium sp. M7A.F.Ca.US.005.03.1.1,"University of California, Davis",2856334872,7037011,7127
2706794539,Bacteria,Permanent Draft,Mesorhizobium  species genome sequencing - University of Southern California,Mesorhizobium sp. LNHC209A00,University of Southern California,2706794539,6647317,6529
2619618891,Bacteria,Permanent Draft,"Enhanced biological phosphorus removal bioreactor microbial communities from the University of Queensland, Australia",Cryomorphaceae bacterium EBPR_Bin_135,"Australian Centre for Ecogenomics, Aalborg University, University of Queensland",2619618891,4845413,4610
2731957920,Bacteria,Permanent Draft,To understand ecology and evolution of rice seed associated bacteria by whole genome sequencing,Sphingomonas sanguinis NS319,"Bacterial Genomics and Evolution Laboratory, CSIR-Institute of Microbial Technology",2731957920,4130921,3952
2648501701,Bacteria,Permanent Draft,Mesorhizbium plurifarium ORS1032,Mesorhizobium plurifarium ORS1032,"Research Institute for Development (IRD), French National Centre for Scientific Research (CNRS)",2648501701,7092330,6807
2684623050,Bacteria,Finished,Complete Genomic sequencing of Methylobacterium sp. AMS5,Methylobacterium sp. AMS5,"Graduate school of life sciences, Tohoku University",2684623050,5599206,5183
650716068,Bacteria,Finished,Novosphingobium sp. PP1Y,Novosphingobium sp. PP1Y,Ceinge Biotecnologie Avanzate S. C. a R. L.,650716068,5313905,4731
2540341035,Bacteria,Permanent Draft,Methylobacterium sp. GXF4,Methylobacterium sp. GXF4,Rochester Institute of Technology,2540341035,6116340,5972
2706794521,Bacteria,Permanent Draft,Mesorhizobium  species genome sequencing - University of Southern California,Mesorhizobium sp. LSJC280B00,University of Southern California,2706794521,7021328,7101
2841729706,Bacteria,Finished,Mesorhizobium sp. DCY119 genome sequencing,Mesorhizobium sp. DCY119,Kyunghee University,2841729706,4837821,4831
2824979408,Bacteria,Permanent Draft,Understanding the reciprocal impacts of modified plant cell wall and associated microbiome,Rhizobium sp. BK313,DOE Joint Genome Institute (JGI),2824979408,8008484,7783
2825114065,Bacteria,Permanent Draft,Understanding the reciprocal impacts of modified plant cell wall and associated microbiome,Novosphingobium sp. BK455,DOE Joint Genome Institute (JGI),2825114065,4894039,4452
2706794525,Bacteria,Permanent Draft,Mesorhizobium  species genome sequencing - University of Southern California,Mesorhizobium sp. LSHC432A00,University of Southern California,2706794525,5989894,5896
2654587689,Bacteria,Permanent Draft,Citromicrobium sp. JL1351 genome sequencing,Citromicrobium sp. JL1351,Xiamen university,2654587689,3163958,3123
638341134,Bacteria,Permanent Draft,Nitrobacter sp. Nb-311A,Nitrobacter sp. Nb-311A,J. Craig Venter Institute (JCVI),638341134,4104352,4312
2902361641,Bacteria,Permanent Draft,Methylobacterium sp. SB0023/3 genome sequencing,Methylobacterium symbioticum SB0023/3,Spanish Type Culture Collection (CECT),2902361641,6086597,6031
2829799810,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification",Novosphingobium hassiacum DSM 14552,DOE Joint Genome Institute (JGI),2829799810,4410114,4311
2651869756,Bacteria,Permanent Draft,Sphingopyxis sp. C-1 genome sequence,Sphingopyxis sp. C-1,Akita Prefectural University,2651869756,4583092,4331
2521172694,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",Hyphomicrobium zavarzinii ATCC 27496,DOE Joint Genome Institute (JGI),2521172694,4651795,4350
2654587562,Bacteria,Permanent Draft,Bradyrhizobium yuanmingense BR3267 genome sequencing,Bradyrhizobium yuanmingense BR3267,Embrapa Agrobiologia,2654587562,7904309,7454
2833890106,Bacteria,Permanent Draft,"Drinking water biofilms microbial communities from hospital in Ohio, USA",Blastomonas sp. CCH5-E3,"Georgia Institute of Technology, U.S. Environmental Protection Agency",2833890106,4141162,4143
2576861497,Bacteria,Permanent Draft,"Hyphomonas genome sequencing - The Third Institute of State Oceanic Administration (SOA), China",Hyphomonas jannaschiana VP2,"Third Institute of Oceanography, State Oceanic Administration",2576861497,3640843,3546
2924718760,Bacteria,Permanent Draft,Sequencing of a global collection of 1315 chickpea nodulating Mesorhizobium strains,Mesorhizobium sp. M8A.F.Ca.ET.023.01.1.1,"University of California, Davis",2924718760,6331356,7859
2927886255,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-V): Genome sequencing to study the core and pangenomes of soil and plant-associated prokaryotes",Bradyrhizobium japonicum USDA 91,DOE Joint Genome Institute (JGI),2927886255,9124142,9000
2843744320,Bacteria,Finished,Caulobacter flavus RHGG3 genome sequencing,Caulobacter flavus RHGG3,Anhui Agricultural University,2843744320,5659202,5267
637000160,Bacteria,Finished,Mesorhizobium sp. BNC1,Chelativorans sp. BNC1,DOE Joint Genome Institute (JGI),637000160,4935185,4694
2919308466,Bacteria,Permanent Draft,"Sorghum-associated microbial communities from plants grown in Nebraska, USA",Sphingopyxis sp. BE122,DOE Joint Genome Institute (JGI),2919308466,3674324,3563
2927344934,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-V): Genome sequencing to study the core and pangenomes of soil and plant-associated prokaryotes",Bradyrhizobium japonicum USDA 45,DOE Joint Genome Institute (JGI),2927344934,9740168,9599
2919547583,Bacteria,Permanent Draft,"Sorghum-associated microbial communities from plants grown in Nebraska, USA",Rhizobium rosettiformans BE153,DOE Joint Genome Institute (JGI),2919547583,4783716,4755
2643221623,Bacteria,Permanent Draft,Genome sequencing of Arabidopsis leaf and root microbiota representing the majority of bacterial species in their natural communities,Aminobacter sp. Root100,Max Planck Institute for Plant Breeding Research,2643221623,5239945,5106
2903534590,Bacteria,Permanent Draft,Mesorhizobia in Australia,Mesorhizobium sp. B2-8-1,Curtin University,2903534590,6133368,6115
2739367865,Bacteria,Permanent Draft,"Populus root and rhizosphere microbial communities from Tennessee, USA",Novosphingobium sp. GV013,DOE Joint Genome Institute (JGI),2739367865,4114482,3864
2927212450,Bacteria,Permanent Draft,Interactions between chemoautotrophic and heterotrophic bacteria,Nitrobacter winogradskyi Nb-106,DOE Joint Genome Institute (JGI),2927212450,4004833,3968
2845983442,Bacteria,Permanent Draft,Chromobacterium violaceum and Chromobacterium haemolyticum Genome sequencing,Chromobacterium violaceum 16-454,Centers for Disease Control and Prevention,2845983442,4778967,4598
2806310411,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-V): Genome sequencing to study the core and pangenomes of soil and plant-associated prokaryotes",Bradyrhizobium stylosanthis BR 510,DOE Joint Genome Institute (JGI),2806310411,8989507,8370
2894328782,Bacteria,Permanent Draft,Microvirga sp. c23x22 genome sequencing,Microvirga sp. c23x22,Guangdong Institute of Microbiology,2894328782,3752118,3662
2651869815,Bacteria,Permanent Draft,Comparative genomic analysis of Citromicrobium spp. strains,Citromicrobium sp. RCC1878,Xiamen university,2651869815,3281572,3260
2654588046,Bacteria,Finished,Sphingopyxis macrogoltabida 203 Genome sequencing,Sphingopyxis macrogoltabida 203,Tohoku University,2654588046,5748623,5582
2841880164,Bacteria,Permanent Draft,Devosia sp. S37 genome sequencing,Devosia elaeis S37,University of Malaya,2841880164,3878148,3921
2927857662,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-V): Genome sequencing to study the core and pangenomes of soil and plant-associated prokaryotes",Bradyrhizobium japonicum USDA 78,DOE Joint Genome Institute (JGI),2927857662,9684322,9561
2512047086,Bacteria,Permanent Draft,GEBA - Root Nodulating Bacteria,Sinorhizobium arboris LMG 14919,DOE Joint Genome Institute (JGI),2512047086,6850303,6545
2757320511,Bacteria,Permanent Draft,Phycosphere-associated microbial communities from algal ponds,Devosia sp. PTEAB7WZ,DOE Joint Genome Institute (JGI),2757320511,3992749,4034
2871481445,Bacteria,Permanent Draft,Sequencing of a global collection of 1315 chickpea nodulating Mesorhizobium strains,Mesorhizobium sp. M7A.F.Ca.CA.004.02.1.1,"University of California, Davis",2871481445,6700002,7337
2850842123,Bacteria,Finished,Rhizobium sp. CCGE531 genome sequencing,Rhizobium sp. CCGE531,Allegheny-Singer Research Institute,2850842123,7140493,6954
2738541329,Bacteria,Permanent Draft,The evolution of family Rhizobiaceae,Rhizobium aggregatum DSM 1111,Major Bio,2738541329,4813061,4645
2834356459,Bacteria,Permanent Draft,Methylorubrum extorquens CP3 genome sequencing,Methylorubrum extorquens CP3,Hasselt University,2834356459,5702189,6714
2684623304,Bacteria,Permanent Draft,"Avena fatua rhizosphere microbial communities from Hopland, California, USA",Agrosp. sp. JGI 034 (unscreened),DOE Joint Genome Institute (JGI),2684623304,2693599,2800
2856342000,Bacteria,Permanent Draft,Sequencing of a global collection of 1315 chickpea nodulating Mesorhizobium strains,Mesorhizobium sp. M5C.F.Cr.IN.023.01.1.1,"University of California, Davis",2856342000,7176905,7416
2859833134,Bacteria,Finished,Rhizobium leguminosarum bv. viciae UPM791 genome sequencing,Rhizobium leguminosarum bv. viciae UPM791,Universidad Politecnica de Madrid,2859833134,7837567,7704
2833432979,Bacteria,Permanent Draft,"Drinking water biofilms microbial communities from hospital in Ohio, USA",Blastomonas sp. CCH2-E1,"Georgia Institute of Technology, U.S. Environmental Protection Agency",2833432979,3879453,3871
2740891859,Bacteria,Permanent Draft,"Genomic Encyclopedia of Archaeal and Bacterial Type Strains, Phase II (KMG-II): from individual species to whole genera",Rhodopseudomonas thermotolerans JA576,DOE Joint Genome Institute (JGI),2740891859,5383410,4967
2887706632,Bacteria,Permanent Draft,Marinicauda algicola JCM 31718 genome sequencing,Marinicauda algicola JCM 31718,Shandong University,2887706632,3426473,3466
2816332527,Bacteria,Permanent Draft,Genome Sequencing of common bean microsymbionts,Bradyrhizobium diazoefficiens Y21,Northwest A&F University,2816332527,8933356,8504
2643221759,Bacteria,Permanent Draft,Genome sequencing of Arabidopsis leaf and root microbiota representing the majority of bacterial species in their natural communities,Sphingobium sp. Leaf26,Max Planck Institute for Plant Breeding Research,2643221759,4822147,4510
2906354277,Bacteria,Permanent Draft,Sequencing of a global collection of 1315 chickpea nodulating Mesorhizobium strains,Mesorhizobium sp. M2A.F.Ca.ET.040.01.1.1,"University of California, Davis",2906354277,6991324,9145
2740892139,Bacteria,Permanent Draft,Genome sequencing of high-molecular-weight (HMW) dissolved organic matter (DOM) degraders,Erythrobacter sp. HI0028,Massachusetts Institute of Technology,2740892139,3212666,3453
2671180697,Bacteria,Permanent Draft,"Genome sequencing of isolates from drinking water distribution system in Cincinnati, Ohio",Sphingopyxis sp. H012,US Environmental Protection Agency (EPA),2671180697,5055738,4807
2926974805,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-V): Genome sequencing to study the core and pangenomes of soil and plant-associated prokaryotes",Bradyrhizobium japonicum USDA 20,DOE Joint Genome Institute (JGI),2926974805,9107645,8838
2879157918,Bacteria,Permanent Draft,new species of Sinirhodobacter isolated from plant Assembly,Sphingomonas populi 3-7,Research Institute of Forest Ecology Environment and Protection,2879157918,5204106,5139
2838686498,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-V): Genome sequencing to study the core and pangenomes of soil and plant-associated prokaryotes",Rhizobium leguminosarum SEMIA 416,DOE Joint Genome Institute (JGI),2838686498,7807632,7807
2706794533,Bacteria,Permanent Draft,Mesorhizobium  species genome sequencing - University of Southern California,Mesorhizobium sp. LNJC394B00,University of Southern California,2706794533,6522886,6342
2888079082,Bacteria,Finished,Methylobacterium sp. CLZ Genome sequencing and assembly,Methylobacterium sp. NI91,Shihezi Unversity,2888079082,5409262,5150
2882912400,Bacteria,Permanent Draft,Sequencing of a global collection of 1315 chickpea nodulating Mesorhizobium strains,Mesorhizobium sp. M4B.F.Ca.ET.013.02.1.1,"University of California, Davis",2882912400,6801539,7348
2850037723,Bacteria,Permanent Draft,"Molecular characterization of a new Ensifer species recovered from Asian, African and American arid regions",Ensifer aridi LMR013,"Research Institute for Development (IRD), French National Centre for Scientific Research (CNRS)",2850037723,6789493,6757
2706794523,Bacteria,Permanent Draft,Mesorhizobium  species genome sequencing - University of Southern California,Mesorhizobium sp. LSJC255A00,University of Southern California,2706794523,6806382,6755
2751185880,Bacteria,Finished,Mesorhizobium sp. WSM1497 Genome sequencing,Mesorhizobium sp. WSM1497,Curtin University,2751185880,7198121,6908
2838991096,Bacteria,Permanent Draft,Rhodopseudomonas palustris R1 genome sequencing,Rhodopseudomonas palustris R1,Bellevue University,2838991096,5308236,5004
2508501127,Bacteria,Permanent Draft,GEBA - Root Nodulating Bacteria,Mesorhizobium sp. WSM2561,DOE Joint Genome Institute (JGI),2508501127,7037543,6909
637000193,Bacteria,Finished,Five Bacteria involved in Nitrification,Nitrobacter winogradskyi Nb-255,DOE Joint Genome Institute (JGI),637000193,3402093,3215
2869264136,Bacteria,Permanent Draft,Sequencing of a global collection of 1315 chickpea nodulating Mesorhizobium strains,Mesorhizobium sp. M7A.F.Ca.CA.001.15.1.1,"University of California, Davis",2869264136,6880765,7127
2788500589,Bacteria,Finished,Sphingobium sp. SCG-1 genome sequencing,Sphingobium sp. SCG-1,California Institute of Technology,2788500589,4513383,4243
2828629153,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification",Sphingosinicella soli DSM 17328,DOE Joint Genome Institute (JGI),2828629153,3756600,3663
2922145295,Bacteria,Permanent Draft,Mesorhizobia in Australia,Mesorhizobium sp. B2-5-13,Curtin University,2922145295,5993487,6019
2651869728,Bacteria,Permanent Draft,Comparative genome sequencing of Methylobacterium Type strains,Methylobacterium platani JCM 14648,"Institute of Microbial Technology (IMTECH), Council of Scientific and Industrial Research (CSIR)",2651869728,6770243,6465
2906414383,Bacteria,Permanent Draft,Sequencing of a global collection of 1315 chickpea nodulating Mesorhizobium strains,Mesorhizobium sp. M3A.F.Ca.ET.174.01.1.1,"University of California, Davis",2906414383,6580790,7008
2922172374,Bacteria,Permanent Draft,Sequencing of a global collection of 1315 chickpea nodulating Mesorhizobium strains,Mesorhizobium sp. M7A.F.Ca.CA.002.06.1.1,"University of California, Davis",2922172374,6167644,6149
2778261400,Bacteria,Permanent Draft,Draft Metagenome-assembled Genomes from Global Oceans - TOBG MAGs,Ponticaulis sp. ARS22,CEA Genoscope,2778261400,2998056,3117
2565956506,Bacteria,Permanent Draft,Genomes of fifty methylotrophs isolated from Lake Washington,Labrys methylaminiphilus JLW10,DOE Joint Genome Institute (JGI),2565956506,7517092,7014
2842298080,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-V): Genome sequencing to study the core and pangenomes of soil and plant-associated prokaryotes",Rhizobium leucaenae SEMIA 492,DOE Joint Genome Institute (JGI),2842298080,6123127,6024
2751185864,Bacteria,Finished,Methylobacterium zatmanii PSBB041 Genome sequencing,Methylorubrum zatmanii PSBB041,University of Minnesota,2751185864,5612218,5263
2713896721,Bacteria,Permanent Draft,"Seed sludge microbial communities for the partial nitritation/anammox (PNA) lab-scale SBR reactor set up, Hong Kong",Unclassified Caulobacteraceae PNA_bin10,"Beijing Novogene Bioinformatics Technology Co., Ltd",2713896721,3507169,3776
2599185354,Bacteria,Permanent Draft,Comparative genomics of bacterial root endophytes of switchgrass collected from native prairies over two seasons,Sphingomonas sp. NFR15,DOE Joint Genome Institute (JGI),2599185354,4398675,4094
2516653005,Bacteria,Permanent Draft,Rhodopseudomonas palustris sequencing - Univ of Washington,Rhodopseudomonas palustris AP1,University of Washington,2516653005,5482873,5633
2643221884,Bacteria,Permanent Draft,Genome sequencing of Arabidopsis leaf and root microbiota representing the majority of bacterial species in their natural communities,Methylobacterium sp. Leaf123,Max Planck Institute for Plant Breeding Research,2643221884,5437666,5106
2926992252,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-V): Genome sequencing to study the core and pangenomes of soil and plant-associated prokaryotes",Bradyrhizobium japonicum USDA 22,DOE Joint Genome Institute (JGI),2926992252,10411770,10513
2831790597,Bacteria,Permanent Draft,Methyloceanibacter Genome sequencing,Methyloceanibacter stevinii R-67176,Ghent University,2831790597,3216104,3453
2829936462,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification",Sphingobium fontiphilum DSM 29348,DOE Joint Genome Institute (JGI),2829936462,3410606,3392
2684623297,Bacteria,Permanent Draft,"Avena fatua rhizosphere microbial communities from Hopland, California, USA",Sphingomonadaceae bacterium JGI 037 (contamination screened),DOE Joint Genome Institute (JGI),2684623297,2213825,2166
2861405929,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification",Aminobacter ciceronei DSM 15910,DOE Joint Genome Institute (JGI),2861405929,6774758,6811
2896569440,Bacteria,Finished,Rhizobium sp. JKLM13E genome sequencing,Rhizobium sp. JKLM13E,National Centre for Cell Science,2896569440,7570793,7517
2903835092,Bacteria,Permanent Draft,"Drinking water biofilms microbial communities from hospital in Ohio, USA",Sphingomonas sp. CCH21-G11,"Georgia Institute of Technology, U.S. Environmental Protection Agency",2903835092,3607067,3530
2791355128,Bacteria,Permanent Draft,Genome sequencing of Mesorhizobia from legumes,Mesorhizobium sp. WSM4313,Curtin University,2791355128,6328050,6113
2857422599,Bacteria,Permanent Draft,Standard draft genome sequeces of bacteria from Yellowstone Lake,Methylobacterium sp. YL-MPn5-2016,DOE Joint Genome Institute (JGI),2857422599,6864218,6647
2876377896,Bacteria,Permanent Draft,Sequencing of a global collection of 1315 chickpea nodulating Mesorhizobium strains,Mesorhizobium sp. M2C.T.Ca.TU.009.01.2.1,"University of California, Davis",2876377896,6565995,8150
2885228736,Bacteria,Permanent Draft,Methylobacterium sp. TER-1 genome sequencing,Methylobacterium sp. TER-1,National Kaohsiung Normal University,2885228736,6327435,5943
2731957716,Bacteria,Permanent Draft,Sphingopyxis terrae NBRC 15098,Sphingopyxis terrae terrae NBRC 15098,National Institute of Technology and Evaluation,2731957716,4080443,3958
2576861420,Bacteria,Finished,Bradyrhizobium japonicum SEMIA 5079,Bradyrhizobium japonicum SEMIA 5079,EMBRAPA,2576861420,9583027,8705
2928100450,Bacteria,Permanent Draft,"Sorghum-associated microbial communities from plants grown in Nebraska, USA",Novosphingobium sp. 1529,DOE Joint Genome Institute (JGI),2928100450,4837635,4330
2855933439,Bacteria,Permanent Draft,Methylobacterium crusticola MIMD6 genome sequencing,Methylobacterium crusticola MIMD6,Inner Mongolia Agricultural University,2855933439,7502080,7330
2596583656,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains",Mesorhizobium qingshengii CGMCC 1.12097,DOE Joint Genome Institute (JGI),2596583656,7063626,6883
2554235291,Bacteria,Permanent Draft,Sphingomonas sp. YL-JM2C Genome sequencing,Sphingomonas sp. YL-JM2C,"Chinese Academy of Sciences, Institute of Urban Environment",2554235291,5923019,5642
2871459585,Bacteria,Permanent Draft,Sequencing of a global collection of 1315 chickpea nodulating Mesorhizobium strains,Mesorhizobium sp. M7A.F.Ca.CA.001.09.1.1,"University of California, Davis",2871459585,6866887,7306
2627854079,Bacteria,Finished,Methylobacterium oryzae CBMB20,Methylobacterium oryzae CBMB20,Korea Research Institute of Bioscience and Biotechnology,2627854079,6286629,5883
2721755686,Bacteria,Finished,Mesorhizobium amorphae CCNWGS0123 Genome sequencing,Mesorhizobium amorphae CCNWGS0123,State Key Laboratory of Soil Erosion and Dryland Farming on the Loess Plateau,2721755686,7343952,7030
2597489926,Bacteria,Finished,Bradyrhizobium oligotrophicum S58,Bradyrhizobium oligotrophicum S58,Tohoku University,2597489926,8264165,7209
2523231013,Bacteria,Permanent Draft,Mediterranean Grassland Soil Metagenome (MGSM): Enabling a systems view of soil carbon and nitrogen biogeochemistry under a changing climate.,Sphingomonas sp. URHD0007,DOE Joint Genome Institute (JGI),2523231013,2934896,2941
2913295892,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification",Sinorhizobium kostiensis DSM 13372,DOE Joint Genome Institute (JGI),2913295892,6333755,6054
2888343758,Bacteria,Finished,Mesorhizobium sp. AA22 genome sequencing,Mesorhizobium sp. AA22,Curtin University,2888343758,6611049,6592
2643221606,Bacteria,Permanent Draft,Genome sequencing of Arabidopsis leaf and root microbiota representing the majority of bacterial species in their natural communities,Sphingomonas sp. Root720,Max Planck Institute for Plant Breeding Research,2643221606,5588032,5301
2643221804,Bacteria,Permanent Draft,Genome sequencing of Arabidopsis leaf and root microbiota representing the majority of bacterial species in their natural communities,Methylobacterium sp. Leaf113,Max Planck Institute for Plant Breeding Research,2643221804,5151901,4829
2643221943,Bacteria,Permanent Draft,Genome sequencing of Arabidopsis leaf and root microbiota representing the majority of bacterial species in their natural communities,Methylobacterium sp. Leaf465,Max Planck Institute for Plant Breeding Research,2643221943,5055478,4768
2922449451,Bacteria,Permanent Draft,Genome Sequencing of Sphingomonas sp. R-74633,Sphingomonas sp. R-74633,Ghent University,2922449451,4338306,4212
2643221807,Bacteria,Permanent Draft,Genome sequencing of Arabidopsis leaf and root microbiota representing the majority of bacterial species in their natural communities,Aureimonas sp. Leaf324,Max Planck Institute for Plant Breeding Research,2643221807,4415253,4234
2721755615,Bacteria,Finished,Methylobacterium phyllosphaerae CBMB27 genome sequencing,Methylobacterium phyllosphaerae CBMB27,Chungbuk National University,2721755615,6316624,5886
